,CODE,STATION NAME,RAILWAY ZONE,STATION ADDRESS
0,AA,ATARIA,NER,"Sitapur Rd, Heerpur, Uttar Pradesh 261.."
1,AABH,AMBIKA BHAWANI HALT,ECR,"Chapra-Patna Highway, Rampur Ami, Biha.."
2,AADR,AMBANDAURA,NR,"Una, Himachal Pradesh, India"
3,AAG,ANGAR,CR,"Solapur, Maharashtra, India"
4,AAGH,ANTAGARH,SECR,"Antagarh, PIN - 494665, Dist. - Kanker.."
5,AAH,ITEHAR,NCR,"Itahar, West Bengal, India"
6,AAL,AMLAI,SECR,"Shahdol, Madhya Pradesh, India"
7,AAM,ANGADIPPURAM,SR,"Railway Station Road, Angadipuram, Ker.."
8,AAP,AMBIAPUR,NCR,"Amiyapur, Gujarat, India"
9,AAR,ADESAR,WR,"Adesar, Gujarat, India"
10,AAS,ASRANADA,NWR,"Jodhpur, Rajasthan, India"
11,AAY,ARALVAYMOZHI,SR,"Aralvaimozhi, Tamil Nadu, India"
12,AB,AMBUR,SR,"Vellore, Tamil Nadu, India"
13,ABB,ABADA,SER,"Dhulagori, Howrah, West Bengal 711313,.."
14,ABD,AMBLI ROAD,WR,"Ahmedabad, Gujarat, India"
15,ABE,AMBIKESHWAR,NCR,"Ankleshwar, Gujarat, India"
16,ABFC,AMBARI FALAKATA,NFR,"ABFC, Ambari, West Bengal, India"
17,ABGM,AMBALGRAM,ER,"Ambalgram, West Bengal 713140, India"
18,ABGT,ARABAGATTA H,SWR,"Arabagatte, Karnataka, India"
19,ABH,AMBARNATH,CR,"Maharashtra 421501, India"
20,ABI,AMBATURAI,SR,"Chinnalapatti, Tamil Nadu, India"
21,ABKA,AMBIKA KALNA,ER,"Kalna, West Bengal, India"
22,ABKP,AMBIKAPUR,SECR,"Ambikapur, Chhattisgarh, India"
23,ABLE,AMBALE,CR,"Ambale, Maharashtra 412104, India"
24,ABO,ASTHAL BOHAR JN,NR,"Asthal Bohar Junction, Rohtak, Haryana.."
25,ABP,AKBARPUR,NR,"Akbarpur, Uttar Pradesh, India"
26,ABR,ABU ROAD,NWR,"Abu Road, Rajasthan, India"
27,ABRV,AMBARI RICHHAVI,WR,"Ambari, Madhya Pradesh 457887, India"
28,ABS,ABOHAR,NR,"Abohar Railway Station, Abohar, Punjab.."
29,ABSA,AMBASA,NFR,"National Highway 44, Ambassa, Tripura,.."
30,ABU,AMBATTUR,SR,"GNG Street, Varadaraja Puram, Ambattur.."
31,ABW,ABUTARA H,NFR,India
32,ABX,AMBARI,SCR,"Ambari, West Bengal, India"
33,ABY,AMBIVLI,CR,"Ambivali, Ambivli, Maharashtra, India"
34,ACG,ACHEGAON,CR,"Achegaon, Maharashtra, India"
35,ACH,ACHALGANJ,NR,"Bithar, Uttar Pradesh, India"
36,ACK,ACHARAPAKKAM,SR,"Tamil Nadu, India"
37,ACL,ANCHELI,WR,"Navsari, Gujarat, India"
38,ACLE,AZIMGANJ CITY,ER,"Azimganj City Railway Station, Azimgan.."
39,ACN,ADHICHCHANUR,SR,"Achanur, Tamil Nadu, India"
40,ACND,A N DEV NAGAR,NR,"Amanigunj, Faizabad, Uttar Pradesh, In.."
41,ACPR,ARCHIPATHAR HALT,NFR,"Station Rd, No.1 Nalbari, Assam 787059.."
42,ACRN,ACHIRNE,KR,
43,ACU,ACHUARA H,ECR,"Hasan Chak, Bihar 803213, India"
44,AD,ADONI,SCR,"Adoni Railway Station, Adoni, Andhra P.."
45,ADB,ADILABAD,SCR,"Adilabad Railway Station, National Hig.."
46,ADD,ADAS ROAD,WR,"Anand, Gujarat, India"
47,ADE,ADARI ROAD,WR,"Rd, Uttar Pradesh, India"
48,ADF,ADINA,NFR,"Adina Railway Station, West Bengal, In.."
49,ADH,ANDHERI,WR,"Andheri, Mumbai, Maharashtra, India"
50,ADHL,ADIHALLI,SWR,"Kodihalli, Karnataka, India"
51,ADI,AHMEDABAD JN,WR,"Ahmedabad, Gujarat, India"
52,ADL,ANDUL,SER,"Andul, Howrah, West Bengal, India"
53,ADPT,ANDIPATTI,SR,"Andippatti, Tamil Nadu, India"
54,ADQ,ADHIKARI,NFR,"Adhikari Cottage, 253/4, Purulia, West.."
55,ADR,MANDI ADAMPUR,NWR,"Mandi Admapur Railway Station, Adampur.."
56,ADRA,ADRA JN,SER,"Adra, West Bengal, India"
57,ADST,ADI SAPTAGRAM,ER,"Hooghly, West Bengal, India"
58,ADT,ADUTURAI,SR,"Aduthurai, Tamil Nadu, India"
59,ADTL,ADHARTAL,WCR,"Jabalpur, Madhya Pradesh, India"
60,ADTP,ADITYAPUR,SER,"Jamshedpur, Jharkhand 831013, India"
61,ADVI,ADAVALI,KR,"Ratnagiri, Maharashtra, India"
62,ADX,ADAPUR,ECR,"Hospital Rd, Shampur, Bihar 845301, In.."
63,AE,AMRELI,WR,"Amreli Railway Station, Amreli, Gujara.."
64,AED,AULENDA,NCR,"Agra, Uttar Pradesh, India"
65,AEH,ANANTPAITH,NCR,"Thiruvananthapuram, Kerala, India"
66,AEJ,ARNEJ,WR,"Arnej, Gujarat, India"
67,AEK,ANEKAL ROAD,SWR,"Alliance Central Campus, Karnataka, In.."
68,AEL,ATELI,NWR,"Haryana 123021, India"
69,AEP,AMRELI PARA,WR,"Navi Katar, Gujarat, India"
70,AERH,AGRER HALT,ECR,"Agrer, Bihar, India"
71,AEX,ADDERI,SWR,"Kelaginamane, Karnataka 577431, India"
72,AF,AGRA FORT,NCR,"Dhuliagunj, Mantola, Agra, Uttar Prade.."
73,AFK,ANGAMALI,SR,"Angamali Railway Station, NH 47, Angam.."
74,AFR,ASAFPUR,NR,"Uttar Pradesh, India"
75,AG,ARANGHATA,ER,"Aranghata, West Bengal, India"
76,AGA,AGRA CITY,NCR,"Agra City Railway Station, Civil Lines.."
77,AGAE,AGRADWIP,ER,"Agradwip, West Bengal, India"
78,AGAS,AGAS,WR,"Anand, Gujarat, India"
79,AGB,AMBAGAON,ECOR,"Odisha, India"
80,AGC,AGRA CANTT,NCR,"Agra Cantonment Railway station, Idgah.."
81,AGCI,ANGADI,WR,"Angadi, GandhiNagar, Kudamaloor, Kotta.."
82,AGD,AGASOD,NCR,"Madhya Pradesh, India"
83,AGE,ANGAI H,NCR,"Angai, Uttar Pradesh, India"
84,AGI,AMGURI,NFR,"Assam 785683, India"
85,AGL,AMARGOL,SWR,"Hubli, Karnataka, India"
86,AGM,AGARAM SIBBANDI,SR,"Palliput [Then], Tamil Nadu, India"
87,AGMN,AGOMONI,NFR,"Agomoni, Assam, India"
88,AGN,AMGAON,SECR,"Risama, Amgaon, Maharashtra, India"
89,AGP,AGARPARA,ER,"Barrackpore, West Bengal, India"
90,AGQ,ASIRGARH ROAD,CR,"Nahargarh Rd, Pink City, Jaipur, Rajas.."
91,AGR,AMARGARH,WR,"Madhya Pradesh, India"
92,AGT,AGTHORI,NFR,"Namati Jalah, Assam, India"
93,AGTL,AGARTALA,NFR,"National Highway 44, Badharghat, Agart.."
94,AGTR,AGAUTHAR H,NER,"Mc Arthur St, Indio, CA 92201, USA"
95,AGV,ANGUA P H,SER,"Angua Railway Station, West Bengal 721.."
96,AGX,AGASTIYAMPALLI,SR,"614810, India"
97,AGY,AGORI KHAS,NCR,"Sonbhadra, Uttar Pradesh, India"
98,AGZ,AMAGURA,ECOR,"Bastar, Chhattisgarh, India"
99,AH,ACHHNERA JN,NCR,"Achhnera Junction, Achhnera, Uttar Pra.."
100,AHA,ABHAIPUR,ER,"Lakhisarai, Bihar, India"
101,AHD,AHERWADI,SWR,"Aherwadi, Maharashtra, India"
102,AHH,AHMADGARH,NR,"Ahmedgarh, Punjab, India"
103,AHJU,AHJU,NR,"Ahju Railway Station, National Highway.."
104,AHL,AJHARAIL,NFR,"Bagdob, Bihar, India"
105,AHLR,AHALYAPUR,NER,"Deoria, Uttar Pradesh, India"
106,AHM,AHIMANPUR,NER,"Hiranpur, Jharkhand, India"
107,AHMP,ADARSH MANPUR,ECR,"Bihar, India"
108,AHN,AHIRAN,ER,"84051 Essenbach, Germany"
109,AHO,ADARSHNAGAR,NWR,"Ajmer, Rajasthan, India"
110,AHQ,AHERA,NR,"Ahera, Uttar Pradesh, India"
111,AHU,AHIRAULI H,NER,"Dhensa Nankar, Uttar Pradesh, India"
112,AHZ,ADHINPUR,NR,Udhampur
113,AI,ADIPUR,WR,"Meghpar Borichi, Gujarat, India"
114,AIA,AJARAKA,NWR,"Ajaraka, Rajasthan, India"
115,AIG,ALGAWAN,NR,"Uttar Pradesh, India"
116,AIH,ALAWALPUR IDRISPUR,NR,"Bagpat, Uttar Pradesh, India"
117,AII,AJMER JN,NWR,"Ajmer Junction, Ajmer, Rajasthan 30500.."
118,AILM,AILAM H,NR,"Ailum, Uttar Pradesh, India"
119,AIP,ATTIPPATTU,SR,"Attipatttu, Ambattur Industrial Estate.."
120,AIPP,ATTIPATTU PUDU NGR H,SR,"Thiruvallur, Tamil Nadu, India"
121,AIR,ALINDRA ROAD,WR,"Smashaan- Ckokadi Road, Heranj, Gujara.."
122,AIRL,AIROLI,CR,"Airoli, Navi Mumbai, Maharashtra, India"
123,AIT,AIT,NCR,"AIT, Uttar Pradesh 285201, India"
124,AJ,AJGAIN,NR,"Kanpur Rd, Uttar Pradesh, India"
125,AJE,ANJAR,WR,"Navhagam, Anjar, Gujarat, India"
126,AJH,AJHAI,NCR,"Mathura, Uttar Pradesh, India"
127,AJI,ANJHI SHAHABAD,NR,"Hardoi, Uttar Pradesh, India"
128,AJIT,AJIT,NWR,"Barmer, Rajasthan, India"
129,AJJ,ARAKKONAM,SR,"Arakkonam, Tamil Nadu, India"
130,AJJN,AROKONAM JN. NORTH B,SR,"Kinoor, Arakkonam, Tamil Nadu, India"
131,AJK,AJAKOLLU,SCR,"Palakollu, Andhra Pradesh, India"
132,AJKI,AJIT KHERI,WR,"Mendki Dhakad, Madhya Pradesh 455001, .."
133,AJL,AJITWAL,NR,"Ajitwal, Punjab, India"
134,AJM,ADRAJ MOTI,WR,"Adraj Moti, Gujarat, India"
135,AJN,AJNOD,WR,"Ajnod Railway Station, Madhya Pradesh,.."
136,AJNI,AJNI,CR,"Nagpur, Maharashtra, India"
137,AJP,AJJAMPUR,SWR,"Ajjampur Bus Stand, TH Road, Ajjampur,.."
138,AJR,AJAIBPUR,NCR,"Ajaibpur, Uttar Pradesh, India"
139,AJRE,AUJURI,NFR,"Assam 782412, India"
140,AJTM,AJIT GILL MATTA H,NR,"Punjab 151202, India"
141,AJU,ARJUNI,SECR,"Arjuni, Maharashtra, India"
142,AJUG,ABJUGANJ,ER,"Abjuganj, SultanGanj, Bihar 813213"
143,AK,AKOLA JN,CR,"Akola Railway Station, Akola, Maharash.."
144,AKAH,ARTALAKATTA,SCR,"Talabkatta Rd, Hyderabad, Andhra Prade.."
145,AKAT,AKKAMPET,SR,"Akkampet, Andhra Pradesh"
146,AKD,AKODIA,WR,"Shajapur, Madhya Pradesh, India"
147,AKE,AKANAPET,SCR,"Akanapet, Akkannapet, Andhra Pradesh, .."
148,AKI,ADARKI,CR,"Adarki, Aljapur, Maharashtra, India"
149,AKIP,AKAIPUR H,ER,"Akaipur, West Bengal, India"
150,AKJ,AKBARGANJ,NR,"Akbarganj, Uttar Pradesh, India"
151,AKK,AKKIHEBBALU,SWR,"Akkihebbalu, Karnataka, India"
152,AKM,ARAMBAKAM,SR,"Arambakam, Karuru, Andhra Pradesh, India"
153,AKN,AKBARNAGAR,ER,"Akbarnagar Station Rd, Akbarnagar, Bih.."
154,AKNR,ADHYATMIK NAGAR H,NR,"Adhyapak Nagar, New Delhi, Delhi, India"
155,AKOR,AKALKOT ROAD,CR,"Solapur, Maharashtra, India"
156,AKOT,AKOT,SCR,"Akot Railway Station, Akot, Maharashtr.."
157,AKP,ANAKAPALLE,SCR,"Anakapalle, Andhra Pradesh, India"
158,AKR,AKOLNER,CR,"Unnamed Road, New Ahmednagar, Maharash.."
159,AKRA,AKRA,ER,"Akra, Kolkata, West Bengal, India"
160,AKRD,AKURDI,CR,"Akurdi Railway Station, Akurdi, Pimpri.."
161,AKS,ANKUSPUR,NER,"Ghazipur, Uttar Pradesh, India"
162,AKSP,ANKSAPUR,SCR,"Telangana 503311, India"
163,AKT,AKALTARA,SECR,"Akaltara, Chhattisgarh, India"
164,AKU,ANGALAKUDURU,SCR,"Guntur Road, Angalakuduru, Andhra Prad.."
165,AKV,ANKLESHWAR JN,WR,"Ankleshwar, Gujarat, India"
166,AKVD,AKIVIDU,SCR,"Akividu Railway Station, Akividu, Andh.."
167,AKVU,ANKLESHWAR UDHYOG NA,WR,"Hifazat Nagar, Ankleshwar, Gujarat, In.."
168,AKW,AKORA,NCR,"Uttar Pradesh, India"
169,AKZ,AKASHI P H,SER,"Jharkhand 835325, India"
170,AL,ATTILI,SCR,"Andhra Pradesh, India"
171,ALAI,ALAI,NWR,"Rajasthan, India"
172,ALAL,ALAL,NR,"Alal, Punjab, India"
173,ALAT,AVULADATLA,SWR,"Junjurampalle, Andhra Pradesh 515867, .."
174,ALAU,ALAU,WR,"Alau, Gujarat, India"
175,ALB,ALIA BADA,WR,"Jamnagar, Gujarat, India"
176,ALE,AMLETHA,WR,"Unnamed Road, Gujarat 393140, India"
177,ALER,ALER,SCR,"Aler, Andhra Pradesh, India"
178,ALGP,ALGAPUR,NFR,"NH154, Sayedbond Pt I, Assam 788150, I.."
179,ALJ,ALIGANJ,NER,"Aliganj, Uttar Pradesh, India"
180,ALJN,ALIGARH JN,NCR,"Aligarh Junction, Aligarh, Uttar Prade.."
181,ALK,ALAKKUDI,SR,"Thanjavur, Tamil Nadu, India"
182,ALLP,ALLEPPEY,SR,"Alappuzha Railway Station Bus Stand, A.."
183,ALM,ALAMANDA,ECOR,"Alamanda Railway Station, Andhra Prade.."
184,ALMR,ALAMPUR,WR,"Bhavnagar, Gujarat, India"
185,ALMW,ALMAW H,NER,"Alma College, Raghu Ratan Complex, Sta.."
186,ALN,ALANDI,CR,"Ramoshiwadi, Maharashtra 412201, India"
187,ALNI,ALNIYA,WCR,"Kewal Nagar, Rajasthan 325003, India"
188,ALNP,AKELA HANSPUR H,NER,"Uttar Pradesh, India"
189,ALP,ALAPAKAM,SR,"Alapakkam, Tamil Nadu, India"
190,ALPD,ADALPAHARI,ER,"Narayanpur Road, Boro Pahari, West Ben.."
191,ALPR,ALAMPUR ROAD,SCR,"Alampur Road Railway Station, Alampur .."
192,ALS,AMLORI SARSAR,NER,"Amlori Sarsar, Bihar, India"
193,ALU,ARIYALUR,SR,"Ariyalur, Tamil Nadu, India"
194,ALUR,ALUR HALT,SWR,"Alur, Karnataka, India"
195,ALV,ANKLAV,WR,"Anklav, Gujarat, India"
196,ALW,ALWAL,SCR,"Alwal, Hyderabad, Andhra Pradesh, India"
197,AMA,ATAMANDA,NER,"Jadaunpur, Uttar Pradesh 243203, India"
198,AMAN,AMAN LODGE,CR,"Neral - Matheran Rd, Matheran, Maharas.."
199,AMB,AMBODALA,ECOR,"Rayagada, Orissa, India"
200,AMBG,ARAMBAG,ER,"Arambagh, West Bengal 712601, India"
201,AMBR,AMBIKA ROHINA,SCR,"Ambika Devi Rd, Maharashtra, India"
202,AMC,AMRITAPURA,SWR,"Chitradurga, Karnataka, India"
203,AMD,AMILA H,NER,"Amila, West Bengal, India"
204,AMDI,AMDI,SECR,"Amdi, Madhya Pradesh, India"
205,AME,AMETHI,NR,"Mahrajpur, Uttar Pradesh, India"
206,AMG,ALAMNAGAR,NR,"Alamnagar, Lucknow, Uttar Pradesh, India"
207,AMGA,AMJONGA,NFR,"Manupara, Assam, India"
208,AMGU,AMMUGUDA,SCR,"Bolarum, Secunderabad, Telangana 50005.."
209,AMH,AZAMGARH,NER,"Azamgarh Railway Station, Azamgarh, Ut.."
210,AMI,AMRAVATI,CR,"Police Station Kotwali Amravati, Amrav.."
211,AMIN,AMIN,NR,"Amin, Haryana, India"
212,AML,AMALSAD,WR,"Navsari, Gujarat, India"
213,AMLA,AMLA JN,CR,"Amla Junction Railway Station, Amla, M.."
214,AMLI,AMLI,WCR,"State Highway 6, Ranthambore National .."
215,AMLO,AMLO,ECR,"Amlo Block Halt, KARGALI, Phusro, Jhar.."
216,AMLP,AMALPUR,WR,"Jamalpur, West Bengal, India"
217,AMM,ATIRAMPATTINAM,SR,"Railwaystation Road, Adirampattinam, T.."
218,AMNR,AMMANUR,SR,"Ammanur, Tamil Nadu, India"
219,AMO,AMOLWA,ECR,"Amway India Enterprises Pvt Ltd, 32, J.."
220,AMP,AHMADPUR JN,ER,"Birbhum, West Bengal, India"
221,AMPA,AMBALAPUZHA,SR,"Erattakulangara Bus Stop, NH 66, Ambal.."
222,AMPL,AMMAPALI,ER,"Ammapally, Andhra Pradesh, India"
223,AMPR,AMARPURA RATHAN,NWR,"Sri Ganganagar, Rajasthan, India"
224,AMQ,AMMUGUDA,SCR,"Secunderabad, Andhra Pradesh 500056, I.."
225,AMRO,AMROHA,NR,"Amroha Railway Station, Amroha, Uttar .."
226,AMS,AMAUSI,NR,"Kanpur Rd, Alambagh, Lucknow, Uttar Pr.."
227,AMSA,AMMASANDRA,SWR,"Tumkur, Karnataka, India"
228,AMT,AMMAPET,SR,"Ammapet, Tamil Nadu, India"
229,AMV,ALAMBAGH LUCKNOW,NR,
230,AMVA,AMARAVIIA,SR,"Amaravila, Kerala, India"
231,AMW,AMAN VADI,SCR,"Maharashtra 444503, India"
232,AMY,AKATHUMURI,SR,"Akathumuri Road, Akathumuri, Kerala, I.."
233,AMZ,AMTA,SER,"Amta, West Bengal 711401, India"
234,AN,AMALNER,WR,"Amalner, Maharashtra, India"
235,ANA,ASLANA,WCR,"Damoh, Madhya Pradesh, India"
236,ANAH,AUNTA H,ECR,"Aunta, Bihar 803303, India"
237,ANAS,ANAS,WR,"Gujarat, India"
